#project_accession: PXD016999
#project_title: A Quantitative Proteome Map of the Human Body
#project_description: In this study, we quantified the relative protein levels from 12,627 genes across 32 normal human tissue types prepared by the GTEx project. Known and new tissue specific or enriched proteins were identified and compared to transcriptome data. Many ubiquitous transcripts are found to encode highly tissue specific proteins. Discordance in the sites of RNA expression and protein detection also revealed potential sites of synthesis and action of protein signaling molecules. Overall, these results provide an extraordinary resource, and demonstrate that understanding protein levels can provide insights into metabolism, regulation, secretome, and human diseases.
#quantms_version: 1.2.0
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
P07737	PXD016999-Sample-01	Norm	14454673.85857741	9.04095327892886
P62805	PXD016999-Sample-01	Norm	6734027.624384814	8.709219875438752
Q6NZI2	PXD016999-Sample-01	Norm	3789693.8947047857	8.459549113892951
P08670	PXD016999-Sample-01	Norm	3613752.5067836246	8.438903387756257
P17661	PXD016999-Sample-01	Norm	3523140.2025710186	8.427874907992791
P07585	PXD016999-Sample-01	Norm	2609732.6279245424	8.297540997137569
P09493	PXD016999-Sample-01	Norm	2507474.167924474	8.280181449417022
P01834	PXD016999-Sample-01	Norm	2439385.618221651	8.268225440854389
P60174	PXD016999-Sample-01	Norm	2256412.58482432	8.234363495093143
P01009	PXD016999-Sample-01	Norm	2036187.1440528964	8.189762672914666
P35749	PXD016999-Sample-01	Norm	2000003.191213739	8.181975670443235
P07305	PXD016999-Sample-01	Norm	1952020.8978668663	8.171429444624517
P02545	PXD016999-Sample-01	Norm	1784246.4226629557	8.132399816504702
P14618	PXD016999-Sample-01	Norm	1685623.0588808616	8.10770544549171
P00338	PXD016999-Sample-01	Norm	1665354.276222882	8.102451618362739
P11766	PXD016999-Sample-01	Norm	1606457.3218516605	8.086814174118947
P06733	PXD016999-Sample-01	Norm	1545344.4918999048	8.06997029033736
P23528	PXD016999-Sample-01	Norm	1539129.770747329	8.06822022045471
P04406	PXD016999-Sample-01	Norm	1518625.9244042018	8.062395791245969
P21291	PXD016999-Sample-01	Norm	1492975.6118204503	8.054997695276128
P07195	PXD016999-Sample-01	Norm	1376701.6906970728	8.0197848275787
P11142	PXD016999-Sample-01	Norm	1350989.6890036175	8.011597016237602
P02647	PXD016999-Sample-01	Norm	1265907.4919666846	7.983346951955772
P25705	PXD016999-Sample-01	Norm	1254532.538980609	7.97942691196814
P12883	PXD016999-Sample-01	Norm	1224359.3227389825	7.968853874284269
P30086	PXD016999-Sample-01	Norm	1208581.6828466658	7.963220989651458
P60903	PXD016999-Sample-01	Norm	1151185.1512047676	7.942090160945737
Q00839	PXD016999-Sample-01	Norm	1111047.7142105766	7.926677692038604
Q13642	PXD016999-Sample-01	Norm	1080609.9157103922	7.914613930137762
P05109	PXD016999-Sample-01	Norm	1070759.5084022556	7.91063692146073
P02763	PXD016999-Sample-01	Norm	1058558.4582156343	7.905659828469984
P12110	PXD016999-Sample-01	Norm	1005406.2856211836	7.883286577848909
P30044	PXD016999-Sample-01	Norm	985562.0130402546	7.874628937752023
P32119	PXD016999-Sample-01	Norm	983877.1106550358	7.87388583888883
Q03135	PXD016999-Sample-01	Norm	938568.02143901	7.853410734815579
P40926	PXD016999-Sample-01	Norm	911401.4870773536	7.840654714674962
P00558	PXD016999-Sample-01	Norm	900429.6771454219	7.835394782236651
P12109	PXD016999-Sample-01	Norm	877452.2293799088	7.824168463556759
P09382	PXD016999-Sample-01	Norm	845302.60751632	7.807957190468294
P12277	PXD016999-Sample-01	Norm	842950.5631773641	7.806747086964606
P02452	PXD016999-Sample-01	Norm	794495.5392980383	7.7810364450167295
P00325	PXD016999-Sample-01	Norm	783021.1761396276	7.774718489157031
P07237	PXD016999-Sample-01	Norm	742458.3334559669	7.751617068010644
P12111	PXD016999-Sample-01	Norm	732746.7157259253	7.745898862362294
Q05682	PXD016999-Sample-01	Norm	702072.4808169764	7.727326932114346
P30043	PXD016999-Sample-01	Norm	686792.0511918069	7.717770241887965
P26583	PXD016999-Sample-01	Norm	682717.3384528442	7.715185914254834
P02679	PXD016999-Sample-01	Norm	639271.9958456256	7.686630661823542
P46778	PXD016999-Sample-01	Norm	625894.2516290095	7.677445944717879
P35579	PXD016999-Sample-01	Norm	624012.2937983498	7.676138127710816
P51884	PXD016999-Sample-01	Norm	618320.4202965411	7.672158571313423
Q01995	PXD016999-Sample-01	Norm	601486.8991305771	7.6601711543115965
Q9NZ45	PXD016999-Sample-01	Norm	594764.0105685508	7.655289663111715
P19652	PXD016999-Sample-01	Norm	575857.7217883909	7.641260176568005
P50914	PXD016999-Sample-01	Norm	558740.9508532871	7.628155484352411
P46777	PXD016999-Sample-01	Norm	532795.6844083009	7.607505680251219
P63220	PXD016999-Sample-01	Norm	519596.93585079815	7.596611563118589
P21810	PXD016999-Sample-01	Norm	514598.9735708613	7.592413897439505
P04179	PXD016999-Sample-01	Norm	497526.7622088936	7.577761428440093
P06703	PXD016999-Sample-01	Norm	494478.5782305993	7.575092463679453
P06576	PXD016999-Sample-01	Norm	491907.2913549404	7.5728282418057375
P05090	PXD016999-Sample-01	Norm	470051.0852219093	7.553090041506197
P08123	PXD016999-Sample-01	Norm	469453.7027460993	7.552537750658685
O15355	PXD016999-Sample-01	Norm	463771.17483981705	7.5472487338868675
P62917	PXD016999-Sample-01	Norm	438156.6562977188	7.52257439552103
P40925	PXD016999-Sample-01	Norm	433726.1995567429	7.5181606386419455
Q01518	PXD016999-Sample-01	Norm	431490.09233728657	7.515915809926538
P02671	PXD016999-Sample-01	Norm	410670.30189276655	7.494438279288072
P13639	PXD016999-Sample-01	Norm	409109.6735077031	7.492784730445567
P08133	PXD016999-Sample-01	Norm	390434.6279189894	7.472493310399368
P06744	PXD016999-Sample-01	Norm	372170.740825867	7.451687208759177
P01011	PXD016999-Sample-01	Norm	369680.348181028	7.448771346364818
P27797	PXD016999-Sample-01	Norm	366413.46677670506	7.444916408710109
P51572	PXD016999-Sample-01	Norm	356097.3608613516	7.432513736823013
P15121	PXD016999-Sample-01	Norm	348311.72615618777	7.422913077346281
Q00325	PXD016999-Sample-01	Norm	347698.9606176502	7.422148374257949
P02765	PXD016999-Sample-01	Norm	335254.4336770442	7.40631951184128
P02675	PXD016999-Sample-01	Norm	332450.48014381604	7.402671946337103
P49411	PXD016999-Sample-01	Norm	315608.7749705689	7.380094051348602
P04792	PXD016999-Sample-01	Norm	309443.4285104362	7.371526246056693
P62888	PXD016999-Sample-01	Norm	300462.7551770702	7.358735627128477
P06748	PXD016999-Sample-01	Norm	294664.3015182161	7.350272506221803
Q71UM5	PXD016999-Sample-01	Norm	286203.28422908386	7.337619594868484
P23396	PXD016999-Sample-01	Norm	283479.5129126576	7.333466659682213
P01876	PXD016999-Sample-01	Norm	274269.9882500255	7.319123269732803
P08962	PXD016999-Sample-01	Norm	268383.07123285386	7.309700100235913
P23284	PXD016999-Sample-01	Norm	265607.834695852	7.305185863186445
Q15363	PXD016999-Sample-01	Norm	259546.32078442743	7.295159858705675
P06454	PXD016999-Sample-01	Norm	256439.34134843817	7.289929634566122
Q14315	PXD016999-Sample-01	Norm	250813.6817167953	7.280296205091818
Q99497	PXD016999-Sample-01	Norm	250104.9945385405	7.27906734639339
P21333	PXD016999-Sample-01	Norm	244389.52625723564	7.269027571332412
P08590	PXD016999-Sample-01	Norm	239903.77216833603	7.26098205854225
P62753	PXD016999-Sample-01	Norm	237669.976508809	7.256919305067275
Q00765	PXD016999-Sample-01	Norm	234880.6267408198	7.251792178898389
P20774	PXD016999-Sample-01	Norm	223039.34550926517	7.229326463834663
P07858	PXD016999-Sample-01	Norm	222295.98690629104	7.227876604298782
P13804	PXD016999-Sample-01	Norm	220026.41976716535	7.223419813866915
P04080	PXD016999-Sample-01	Norm	219094.7112660348	7.221576876055943
P36542	PXD016999-Sample-01	Norm	215911.3915826216	7.215220538328452
P01266	PXD016999-Sample-01	Norm	215539.24510104096	7.214471339278781
P63104	PXD016999-Sample-01	Norm	213651.18679468715	7.210650291405767
P61353	PXD016999-Sample-01	Norm	204091.1416792544	7.190769136932877
P20962	PXD016999-Sample-01	Norm	202132.72041080025	7.186581602821422
P01871	PXD016999-Sample-01	Norm	196419.09815261097	7.174128694488712
P51858	PXD016999-Sample-01	Norm	196004.02490622815	7.173209971421073
O75390	PXD016999-Sample-01	Norm	193932.69263732797	7.168596009230343
P13693	PXD016999-Sample-01	Norm	193093.1022216615	7.16671174176593
P05114	PXD016999-Sample-01	Norm	190705.90544293897	7.161309123533616
P14625	PXD016999-Sample-01	Norm	189335.46061181385	7.158176942350768
Q09666	PXD016999-Sample-01	Norm	188354.6369472824	7.155921298024692
P25786	PXD016999-Sample-01	Norm	186121.82016020257	7.150742272839109
P01859	PXD016999-Sample-01	Norm	184370.10171233732	7.146635477090998
P37837	PXD016999-Sample-01	Norm	183822.85073856948	7.145344478707919
Q14847	PXD016999-Sample-01	Norm	183550.1136839868	7.1446996396421865
P26038	PXD016999-Sample-01	Norm	182928.2048185739	7.143225654229536
P62258	PXD016999-Sample-01	Norm	180309.2712525875	7.13696303993285
P02794	PXD016999-Sample-01	Norm	179362.58424524387	7.1346768344011
P29401	PXD016999-Sample-01	Norm	176152.33640766554	7.126833389664365
P27816	PXD016999-Sample-01	Norm	168927.90548868492	7.108646379159611
Q15019	PXD016999-Sample-01	Norm	165974.03522930256	7.100985134684185
P19338	PXD016999-Sample-01	Norm	164937.91455224907	7.098265480930673
P53597	PXD016999-Sample-01	Norm	164222.43296960916	7.09637746376845
P45880	PXD016999-Sample-01	Norm	161730.69137176723	7.089737424905388
Q15369	PXD016999-Sample-01	Norm	159474.4869201818	7.083636195378709
P00738	PXD016999-Sample-01	Norm	158285.43518768792	7.08038593642225
Q04917	PXD016999-Sample-01	Norm	154418.15447290713	7.069643339499656
P52565	PXD016999-Sample-01	Norm	153781.90083018874	7.067850206539983
Q92597	PXD016999-Sample-01	Norm	150333.31409327564	7.058000213392687
P40939	PXD016999-Sample-01	Norm	147420.3574875691	7.049502441825642
P06753	PXD016999-Sample-01	Norm	144322.5806817776	7.040279267853071
P08294	PXD016999-Sample-01	Norm	137227.4871022079	7.01838609246697
Q05707	PXD016999-Sample-01	Norm	135924.45710456342	7.0142425888795685
